gpi_ascat,percentage_match,lon,lat,soil_cat
822801.0,98.81987577639751,-5.768135,30.078531,mixed
822856.0,94.03862300587741,-8.695158,30.080742,mixed
822869.0,99.94079336885731,3.7039094,30.081264,mixed
822890.0,99.03743315508021,-3.9591358,30.08211,mixed
822945.0,98.9193083573487,-6.8861585,30.08432,mixed
822979.0,98.9146521953626,-2.150136,30.085688,mixed
823013.0,99.94734070563455,2.5858862,30.087053,mixed
823034.0,99.13097454996897,-5.077159,30.087898,mixed
823089.0,97.5317875841436,-8.004182,30.090109,mixed
823102.0,99.43502824858757,4.3948855,30.090631,mixed
823123.0,99.51586874663798,-3.2681594,30.091476,mixed
823157.0,100.0,1.467863,30.092842,mixed
823178.0,98.87491727332892,-6.195182,30.093687,mixed
823233.0,94.48529411764706,-9.122205,30.095898,mixed
823246.0,99.73333333333333,3.2768626,30.09642,mixed
823267.0,99.36120789779326,-4.3861823,30.097265,mixed
823322.0,98.83401920438958,-7.3132052,30.099476,mixed
823356.0,99.48266942576306,-2.577183,30.100843,mixed
823411.0,99.13526868437307,-5.5042057,30.103054,mixed
823466.0,93.17817014446229,-8.431229,30.105265,mixed
823479.0,99.77194982896238,3.9678388,30.105787,mixed
823500.0,99.46351931330472,-3.6952062,30.106632,mixed
823555.0,99.20792079207921,-6.622229,30.108845,mixed
823623.0,100.0,2.8498156,30.111578,mixed
823644.0,99.3127147766323,-4.8132296,30.112423,mixed
823699.0,98.6842105263158,-7.740252,30.114634,mixed
823712.0,99.93823347745521,4.6588154,30.115156,mixed
823733.0,99.44723618090453,-3.0042298,30.116001,mixed
823788.0,98.71881321645314,-5.9312525,30.118212,mixed
823822.0,99.45945945945945,-1.1952302,30.11958,mixed
823843.0,94.48173005219985,-8.858275,30.120424,mixed
823856.0,99.76428992339423,3.540792,30.120947,mixed
823877.0,98.93318360471645,-4.122253,30.121792,mixed
823932.0,99.43938332165382,-7.049276,30.124002,mixed
823966.0,99.40209267563527,-2.3132534,30.12537,mixed
824000.0,99.8991935483871,2.4227688,30.126738,mixed
824021.0,99.43890274314215,-5.2402763,30.127583,mixed
824076.0,95.72981366459628,-8.167299,30.129795,mixed
824089.0,99.37428896473266,4.231768,30.130318,mixed
824110.0,99.1891891891892,-3.4312768,30.13116,mixed
824165.0,99.33949801849406,-6.3582993,30.133373,mixed
824233.0,99.94652406417113,3.1137452,30.136108,mixed
824254.0,99.25501432664757,-4.5492997,30.136953,mixed
824309.0,99.38791124713083,-7.4763227,30.139164,mixed
824322.0,99.93868792152054,4.9227448,30.139688,mixed
824343.0,99.49672873678912,-2.7403004,30.140532,mixed
824377.0,99.7372569626905,1.9957219,30.1419,mixed
824398.0,99.00621118012423,-5.667323,30.142744,mixed
824453.0,90.29202841357538,-8.594346,30.144957,mixed
824466.0,99.94239631336406,3.8047216,30.14548,mixed
824487.0,99.25053533190578,-3.8583236,30.146324,mixed
824542.0,99.12917271407838,-6.7853465,30.148537,mixed
824610.0,99.88913525498891,2.6866982,30.151272,mixed
824631.0,98.98869720404521,-4.976347,30.152117,mixed
824686.0,95.12591389114542,-7.9033694,30.15433,mixed
824699.0,99.49174078780177,4.495698,30.154852,mixed
824720.0,99.29435483870968,-3.1673472,30.155697,mixed
824754.0,100.0,1.568675,30.157064,mixed
824775.0,98.92037786774628,-6.09437,30.15791,mixed
