gpi_ascat,percentage_match,lon,lat,soil_cat
822725.0,99.93865030674847,4.821933,30.075478,mixed
822746.0,99.59819186338524,-2.8411124,30.07632,mixed
822801.0,99.06832298136646,-5.768135,30.078531,mixed
822856.0,93.95465994962217,-8.695158,30.080742,mixed
822869.0,99.94079336885731,3.7039094,30.081264,mixed
822890.0,99.41176470588235,-3.9591358,30.08211,mixed
822945.0,99.20749279538904,-6.8861585,30.08432,mixed
822979.0,99.25999013320178,-2.150136,30.085688,mixed
823013.0,99.84202211690364,2.5858862,30.087053,mixed
823034.0,99.31719428926132,-5.077159,30.087898,mixed
823089.0,97.23261032161555,-8.004182,30.090109,mixed
823102.0,99.56057752667923,4.3948855,30.090631,mixed
823123.0,99.51586874663798,-3.2681594,30.091476,mixed
823157.0,100.0,1.467863,30.092842,mixed
823178.0,99.07346128391794,-6.195182,30.093687,mixed
823233.0,94.63235294117646,-9.122205,30.095898,mixed
823246.0,99.78666666666666,3.2768626,30.09642,mixed
823267.0,99.65156794425087,-4.3861823,30.097265,mixed
823322.0,99.45130315500685,-7.3132052,30.099476,mixed
823356.0,99.63786859803415,-2.577183,30.100843,mixed
823411.0,99.6911673872761,-5.5042057,30.103054,mixed
823466.0,94.0609951845907,-8.431229,30.105265,mixed
823479.0,99.77194982896238,3.9678388,30.105787,mixed
823500.0,99.46351931330472,-3.6952062,30.106632,mixed
823555.0,99.20792079207921,-6.622229,30.108845,mixed
823623.0,100.0,2.8498156,30.111578,mixed
823644.0,99.71363115693012,-4.8132296,30.112423,mixed
823699.0,98.84868421052632,-7.740252,30.114634,mixed
823712.0,99.93823347745521,4.6588154,30.115156,mixed
823733.0,99.59798994974874,-3.0042298,30.116001,mixed
823788.0,99.25826028320971,-5.9312525,30.118212,mixed
823822.0,99.45945945945945,-1.1952302,30.11958,mixed
823843.0,94.92915734526473,-8.858275,30.120424,mixed
823856.0,99.76428992339423,3.540792,30.120947,mixed
823877.0,99.5508141493543,-4.122253,30.121792,mixed
823932.0,99.50946040644709,-7.049276,30.124002,mixed
823966.0,99.50174389636273,-2.3132534,30.12537,mixed
824000.0,99.8991935483871,2.4227688,30.126738,mixed
824021.0,99.56359102244389,-5.2402763,30.127583,mixed
824076.0,96.66149068322981,-8.167299,30.129795,mixed
